level_2_name,level_3_name,level_4_name,level_5_name,level_2_example_attr,level_3_another_attr
LOMAMI,KANDA KANDA,KAMBAYI,KAMBAYE CENTRE DE SANTE,example,another_example
EQUATEURS,DJOMBO,BOSO NGOMBO,BOSO NGOMBO CENTRE DE SANTE,example,another_example
KWANGO,FESHI,MUTANGU,MUTANGU CENTRE DE SANTE DE REFERENCE,example,another_example
HAUT KATANGA,KATUBA,CEBA,NEW SILOE CENTRE DE SANTE,example,another_example
KASAI CENTRAL,YANGALA,LUSONA,LUSONA CENTRE DE SANTE,example,another_example
NORD KIVU,LUBERO,LUBERO CITE,LUBERO CITE CENTRE DE SANTE,example,another_example
KASAI,BULAPE,DIKOLE,DIKOLO CENTRE DE SANTE,example,another_example
SUD KIVU,MINOVA,SHANJE,SHANJE CENTRE DE SANTE,example,another_example
KINSHASA,BANDALUNGWA,ADOULA,HOPE MEDICAL CENTRE DE SANTE,example,another_example
ITURI,RIMBA,GAMBA,GAMBA CENTRE DE SANTE,example,another_example
ITURI,RIMBA,UNYEBO,UNYEBO CENTRE DE SANTE,example,another_example
TSHOPO,YAHISULI,YAEME,YAEME CENTRE DE SANTE,example,another_example
TSHUAPA,BUSANGA,MPOMBI,MPOMBI CENTRE DE SANTE,example,another_example
HAUT LOMAMI,SONGA,KATONGOLA,KATONGOLA CENTRE DE SANTE,example,another_example
SUD KIVU,WALUNGU,LURHALA,LURHALA CENTRE DE SANTE,example,another_example
KASAI,MIKOPE,SHANGA LUMBONDJI,BUSHONGO LOANGE POSTE DE SANTE,example,another_example
NORD KIVU,MUSIENENE,KIMBULU,KIMBULU CENTRE DE SANTE,example,another_example
KASAI CENTRAL,NDEKESHA,MUILA DOMINIQUE,MUILA DOMINIQUE CENTRE DE SANTE,example,another_example
KINSHASA,GOMBE,GOLF,KINSHASA HOPITAL GENERAL DE REFERENCE,example,another_example
TSHUAPA,WEMA,BOKUTU,BOKUTU CENTRE DE SANTE,example,another_example
KASAI,ILEBO,KABOTE,KABOTE CENTRE DE SANTE,example,another_example
KWILU,KINGANDU,SESE KIDINDA,SESE KIDINDA CENTRE DE SANTE DE REFERENCE,example,another_example
KASAI,KAMWESHA,KAKUMBA,KAKUMBA CENTRE DE SANTE,example,another_example
NORD KIVU,KIROTSHE,KIHINDO,KIHINDO CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,KABEYA KAMWANGA,LUKULA,LUKULA CENTRE DE SANTE,example,another_example
KASAI,LUEBO,KAMBANGOMA,KAMBANGOMA CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KAYAMBA,YAMBA,YAMBA CENTRE DE SANTE,example,another_example
MONGALA,BOSO MANZI,BOKAPO,BOKAPO CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KITENGE,MWADI NGOY,MWADI NGOY CENTRE DE SANTE,example,another_example
KWILU,IDIOFA,MANDING,MANDING 1 CENTRE DE SANTE,example,another_example
NORD KIVU,BENI,MALEPE,MALEPE CENTRE DE SANTE,example,another_example
KASAI,NDJOKO MPUNDA,BENA LUMBA,MBOMBO DIALA POSTE DE SANTE,example,another_example
LUALABA,BUNKEYA,M'SIRI 1,M'SIRI 1 ERE CENTRE DE SANTE,example,another_example
MAINDOMBE,INONGO,MOMBILANGA,MOMBILANGA CENTRE DE SANTE,example,another_example
EQUATEURS,BOLOMBA,MBANGO,MBANGO CENTRE DE SANTE,example,another_example
TSHOPO,MAKISO KISANGANI,YETU,SILOE POSTE DE SANTE,example,another_example
KASAI CENTRAL,MASUIKA,TULUME,TULUME CENTRE DE SANTE,example,another_example
HAUT LOMAMI,SONGA,KAMOME,KAMOME CENTRE DE SANTE,example,another_example
LUALABA,LUBUDI,KALUPETA,BUMI BWETU CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KAMINA,CONGO,CONGO CENTRE DE SANTE,example,another_example
NORD KIVU,KATOYI,KATOYI,KATOYI CENTRE DE SANTE,example,another_example
HAUT KATANGA,MITWABA,KASUNGESHI 3,KASUNGESHI 3 CENTRE DE SANTE DE REFERENCE,example,another_example
TSHOPO,YALEKO,YAOLONGA,YAOLONGA CENTRE DE SANTE,example,another_example
NORD KIVU,MUTWANGA,KUDI 3,KUDI 3 CENTRE DE SANTE,example,another_example
BAS UELE,VIADANA,NAGBONGBO,NAGBONGBO CENTRE DE SANTE,example,another_example
HAUT UELE,MAKORO,AMBARAU,AMBARAU CENTRE HOSPITALIER,example,another_example
LUALABA,LUBUDI,MAZANGULE,KIBWE CENTRE DE SANTE,example,another_example
LUALABA,KASAJI,POUR TOUS,SRPT I CENTRE DE SANTE,example,another_example
MAINDOMBE,BOKORO,TOLO 1,TOLO 1 CENTRE DE SANTE,example,another_example
KWANGO,KITENDA,KIKUTI,KIKUTI CENTRE DE SANTE,example,another_example
NORD KIVU,BIENA,KIRAGHO,KIRAGHO CENTRE DE SANTE,example,another_example
KONGO CENTRAL,NGIDINGA,NGIDINGA,NGIDINGA CENTRE DE SANTE,example,another_example
KASAI CENTRAL,DIBAYA,MOYO KATALA,MOYO KATALA CENTRE DE SANTE,example,another_example
KASAI CENTRAL,KALOMBA,KASUKU,KASUKU CENTRE DE SANTE,example,another_example
KASAI CENTRAL,LUAMBO,MISAKU,MISAKU CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,BONZOLA,BIMPE,ST JOSEPH CENTRE DE SANTE,example,another_example
EQUATEURS,IBOKO,LOONDO,LOONDO CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,BIPEMBA,CIOMBELA,AIMONS-NOUS TOUS CENTRE DE SANTE,example,another_example
HAUT KATANGA,KILWA,DUBIE,DUBIE CENTRE DE SANTE,example,another_example
KASAI,ILEBO,KALINA,KALINA CENTRE DE SANTE,example,another_example
HAUT UELE,ISIRO,TULUBA,KOLU POSTE DE SANTE,example,another_example
NORD KIVU,NYIRAGONGO,MUDJA,MUDJA CENTRE DE SANTE,example,another_example
TSHOPO,YAKUSU,YELENGE,YELENGE CENTRE DE SANTE,example,another_example
HAUT UELE,ABA,KAMIRU,KAMIRU CENTRE DE SANTE,example,another_example
KINSHASA,SELEMBAO,PULULU MBAMBU,ABC CENTRE DE SANTE,example,another_example
NORD KIVU,OICHA,PAKANZA,PAKANZA CENTRE DE SANTE,example,another_example
KWANGO,KASONGO LUNDA,KIMBEKO,KIMBEKO CENTRE DE SANTE,example,another_example
NORD UBANGI,YAKOMA,NGUSUA,NGUSUA CENTRE DE SANTE,example,another_example
KASAI,NDJOKO MPUNDA,TSHIALUPEMBA,TSHIALUPEMBA CENTRE DE SANTE,example,another_example
KASAI,BANGA LUBAKA,MAYIMBI ETAT,BENEDICTION CENTRE DE SANTE,example,another_example
SUD KIVU,NYANTENDE,NYANTENDE,NYANTENDE CENTRE DE SANTE,example,another_example
SUD UBANGI,BOTO,BOZENE,BOZENE CENTRE DE SANTE,example,another_example
NORD KIVU,BIENA,MASOYA,MASOYA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,INGA,VUNDA,ETAT KUAKUA CENTRE DE SANTE,example,another_example
TSHOPO,ISANGI,YABOTIANONGO,YABOTIANONGO CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KAMINA,CENTRE URBAIN,MAENDELEO CENTRE DE SANTE,example,another_example
EQUATEURS,LILANGA BOBANGI,LILANGA,BOKWANGO CENTRE DE SANTE,example,another_example
MAINDOMBE,MIMIA,LOKOLAMA 2,LOKOLAMA 2 CENTRE DE SANTE,example,another_example
HAUT KATANGA,KATUBA,KAYELELE,GOPHER CENTRE DE SANTE,example,another_example
BAS UELE,LIKATI,NAMBWA,NAMBWA CENTRE DE SANTE DE REFERENCE,example,another_example
KONGO CENTRAL,NZANZA,NSAKALA NSIMBA,SAINT SACREMENT CENTRE DE SANTE DE REFERENCE,example,another_example
EQUATEURS,MBANDAKA,BAMANYA,BAKANDJA CENTRE DE SANTE,example,another_example
KASAI,MUSHENGE,BUPU,BUPU CENTRE DE SANTE,example,another_example
TSHOPO,LUBUNGA,LUKUSA,LUKUSA CENTRE DE SANTE,example,another_example
KASAI,MUTENA,DIBOKO,DIBOKO CENTRE DE SANTE DE REFERENCE,example,another_example
SANKURU,VANGA KETE,ONYUMBE,ONYUMBE CENTRE DE SANTE,example,another_example
HAUT UELE,PAWA,IBAMBI CECCA 16,IBAMBI CECCA 16 CENTRE DE SANTE,example,another_example
ITURI,AUNGBA,ATERLEMBE,ATERLEMBE CENTRE DE SANTE,example,another_example
SUD UBANGI,BOKONZI,LIKAMBO,LIKAMBO CENTRE DE SANTE,example,another_example
TANGANYIKA,KALEMIE,KATAKI,KATAKI CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,TSHISHIMBI,BON BERGER,BON BERGER. CENTRE DE SANTE,example,another_example
MAINDOMBE,MIMIA,BONKONKO,BONKONKO CENTRE DE SANTE,example,another_example
SUD KIVU,BUNYAKIRI,BITALE,BITALE CENTRE DE SANTE,example,another_example
LOMAMI,KABINDA,ZEWE,ZEWE CENTRE DE SANTE,example,another_example
KWANGO,KISANJI,KASHINJI,KASHINJI CENTRE DE SANTE,example,another_example
EQUATEURS,BOMONGO,BUBURU,BUBURU CENTRE DE SANTE,example,another_example
KONGO CENTRAL,LUOZI,MBANZA NGOYO,MBANZA NGOYO CENTRE DE SANTE,example,another_example
TSHUAPA,BOENDE,IYALIBOONDE,IYALIBOONDE CENTRE DE SANTE,example,another_example
MANIEMA,KALIMA,MISOKE,MISOKE CENTRE DE SANTE,example,another_example
MANIEMA,KUNDA,KASUBI,KASUBI CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KABONGO,KYONDO,KYONDO CENTRE DE SANTE,example,another_example
HAUT KATANGA,MUFUNGA SAMPWE,KANFWA,KAMFWA CENTRE DE SANTE,example,another_example
EQUATEURS,BASANKUSU,EKOTO,EKOTO CENTRE DE SANTE,example,another_example
HAUT KATANGA,LUBUMBASHI,KASAPA 2,UZIMA CENTRE DE SANTE,example,another_example
KWILU,MASI MANIMBA,KIFUNGA,KIFUNGA CENTRE DE SANTE,example,another_example
SUD KIVU,KAMITUGA,KATUNGA,KATUNGA CENTRE DE SANTE,example,another_example
HAUT KATANGA,LUKAFU,MALAMBWE,MALAMBWE CENTRE DE SANTE,example,another_example
SUD UBANGI,TANDALA,BOBALIA,BOBALIA CENTRE DE SANTE,example,another_example
EQUATEURS,IBOKO,LOONGO,LOONGO CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,LUBILANJI,GLACEKA,THABOR CENTRE HOSPITALIER,example,another_example
TSHOPO,MAKISO KISANGANI,KAPELA,KAPELA CENTRE DE SANTE,example,another_example
MANIEMA,SAMBA,KIESHI,KIESHI CENTRE DE SANTE,example,another_example
MANIEMA,KINDU,BRAZZA,BRAZZA CENTRE DE SANTE DE REFERENCE,example,another_example
SUD UBANGI,LIBENGE,GALABA,GALABA CENTRE DE SANTE,example,another_example
KWILU,MASI MANIMBA,MAYOYO,MAYOYO CENTRE DE SANTE,example,another_example
HAUT KATANGA,KAFUBU,ADRA 41,ADRA 41 CENTRE DE SANTE DE REFERENCE,example,another_example
HAUT KATANGA,KIPUSHI,MUSOSHI,MUSOSHI CENTRE DE SANTE,example,another_example
KASAI,KAMWESHA,BIAKABOMBA,BIAKABOMBA CENTRE DE SANTE,example,another_example
KWILU,MOKALA,MBALA BADINGA,MBALA BADINGA CENTRE DE SANTE,example,another_example
MANIEMA,KUNDA,KABUMBU,KABUMBU CENTRE DE SANTE DE REFERENCE,example,another_example
KASAI,KITANGWA,MALUNDU,MALUNDU CENTRE DE SANTE,example,another_example
KINSHASA,KINGABWA,MAYAMBA,MAYAMBA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KIMPESE,LUKUNGA,CHANTIER MALELE CENTRE DE SANTE DE REFERENCE,example,another_example
SUD UBANGI,BANGABOLA,LIKAW,LIKAW CENTRE DE SANTE,example,another_example
KONGO CENTRAL,SEKE BANZA,LOLO NDAMVU,LOLO NDAMVU CENTRE DE SANTE,example,another_example
NORD KIVU,KATWA,IRANGYA,IRANGYA CENTRE DE SANTE,example,another_example
MONGALA,YAMONGILI,YAMWENGA,YAMWENGA CENTRE DE SANTE,example,another_example
MONGALA,BOSO MONDANDA,BOSO MELO,BOSO MELO CENTRE DE SANTE,example,another_example
NORD KIVU,KATWA,KIVIKA,KIVIKA CENTRE DE SANTE,example,another_example
HAUT KATANGA,KENYA,TROIS C,NEHEMA CENTRE DE SANTE,example,another_example
HAUT KATANGA,PWETO,MWENGE,MWENGE CENTRE DE SANTE DE REFERENCE,example,another_example
BAS UELE,AKETI,BOBEMA,BOBEMAME CENTRE DE SANTE,example,another_example
TSHUAPA,BEFALE,BOLAFA,BOLAFA CENTRE DE SANTE,example,another_example
KWILU,KINGANDU,KINGWAYA,KINGWAYA CENTRE DE SANTE DE REFERENCE,example,another_example
KASAI CENTRAL,BENA TSHADI,NSHIBA,NSHIBA CENTRE DE SANTE,example,another_example
TSHUAPA,BOENDE,YAA,YAA CENTRE DE SANTE DE REFERENCE,example,another_example
KASAI,DEKESE,MBANGA SUD,MBANGA SUD CENTRE DE SANTE,example,another_example
HAUT KATANGA,RUASHI,POLYLUMIERE,POLY IMANI CENTRE DE SANTE DE REFERENCE,example,another_example
SANKURU,VANGA KETE,ONGONDO,ONGONDO CENTRE DE SANTE,example,another_example
KINSHASA,MONT NGAFULA 1,KIMWENZA RURAL,CONGOLAISE CENTRE DE SANTE,example,another_example
LUALABA,DILALA,BOULANGER,SERDI MEDICAL CENTRE DE SANTE,example,another_example
MAINDOMBE,MIMIA,MIMIA,MIMIA CENTRE DE SANTE,example,another_example
KWANGO,KAHEMBA,MWASENGE,MWASENGE CENTRE DE SANTE,example,another_example
NORD KIVU,MUTWANGA,KISIMA,KISIMA CENTRE DE SANTE,example,another_example
MAINDOMBE,MUSHIE,MPEE,MPEE CENTRE DE SANTE DE REFERENCE,example,another_example
TSHUAPA,DJOLU,IYAMBO,IYAMBO CENTRE DE SANTE,example,another_example
MANIEMA,KASONGO,MUVIRINGO,MUVIRINGO CENTRE DE SANTE,example,another_example
HAUT UELE,FARADJE,DOYA,DOYA CENTRE DE SANTE,example,another_example
LUALABA,KALAMBA,NAMBAZ,NAMBAZ CENTRE DE SANTE,example,another_example
MONGALA,BUMBA,BUMBA,BUMBA CENTRE DE SANTE,example,another_example
KWILU,IDIOFA,PUNKULU,PUNKULU CENTRE DE SANTE,example,another_example
KINSHASA,GOMBE,REVOLUTION,CM MONGALA HOPITAL,example,another_example
NORD UBANGI,BOSOBOLO,BOSOSAMA,BOSOSAMA CENTRE DE SANTE,example,another_example
HAUT KATANGA,MUMBUNDA,ROYALE,ACCEUIL CENTRE DE SANTE,example,another_example
KINSHASA,LEMBA,COMMERCIAL,CLINIQUE ALLIANCE CENTRE DE SANTE,example,another_example
NORD KIVU,BIENA,KAHEKU,KAHEKU CENTRE DE SANTE,example,another_example
SUD KIVU,MWANA,KASIHE,KASIHE CENTRE DE SANTE,example,another_example
ITURI,MONGBWALU,MONGBWALU,MONGBWALU CENTRE DE SANTE,example,another_example
KWANGO,KIMBAO,KINDENGO,KINDENGO CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,MPOKOLO,KATENDE,MIRACLE CENTRE DE SANTE,example,another_example
HAUT KATANGA,KILELA BALANDA,MWANA KULUMA,MWANA KULEMA CENTRE DE SANTE,example,another_example
NORD KIVU,KIBIRIZI,VITSHUMBI,VITSHUMBI CENTRE DE SANTE DE REFERENCE,example,another_example
KWANGO,KIMBAO,NZAU MUSITU,NZAU MUSITU CENTRE DE SANTE,example,another_example
KWANGO,KISANJI,MALUNDU,MALUNDU CENTRE DE SANTE,example,another_example
KINSHASA,NDJILI,QUARTIER 3,CADC SUMBI CENTRE DE SANTE,example,another_example
HAUT KATANGA,KAPOLOWE,LUPIDI2,LUPIDI 2 CENTRE DE SANTE,example,another_example
KONGO CENTRAL,MUANDA,KIMBANZA,KIMBANZA CENTRE DE SANTE,example,another_example
TSHOPO,YABAONDO,YAMOHAMBE,YAMOHAMBE CENTRE DE SANTE,example,another_example
LUALABA,FUNGURUME,TENKE 2,SAINT-FRANCOIS XAVIER CENTRE DE SANTE DE REFERENCE,example,another_example
HAUT LOMAMI,KITENGE,SOHE,SOHE CENTRE DE SANTE,example,another_example
TANGANYIKA,KONGOLO,KALENGA MAYI,KALENGA MAYI CENTRE DE SANTE,example,another_example
KINSHASA,NGABA,MPILA,MPILA CENTRE DE SANTE,example,another_example
ITURI,RWAMPARA,KABAROLE,KABAROLE CENTRE DE SANTE,example,another_example
KWILU,MASI MANIMBA,BIMBEMBO,BIMBEMBO CENTRE DE SANTE,example,another_example
KINSHASA,POLICE,COMMISSARIATS,FLUVIAL CENTRE DE SANTE,example,another_example
TSHUAPA,BOENDE,BOKONGO,BOKONGO CENTRE DE SANTE,example,another_example
LUALABA,MANIKA,SNCC,BLESSING CENTRE DE SANTE,example,another_example
HAUT LOMAMI,BUTUMBA,KISAMBA,KISAMBA CENTRE DE SANTE,example,another_example
ITURI,AUNGBA,AUPA,AUPA CENTRE DE SANTE,example,another_example
SUD KIVU,KATANA,MABINGU,MABINGU CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KINDA,SOKELE,SOKELE CENTRE DE SANTE,example,another_example
MAINDOMBE,INONGO,MBUYE BOTOLA,MBUYE BOTOLA CENTRE DE SANTE,example,another_example
KWANGO,PANZI,PANZI/ MAKITA,PANZI / MAKITA CENTRE DE SANTE,example,another_example
LOMAMI,LUDIMBI LUKULA,MIOMBE MUAVI,MIOMBE MUAVI CENTRE DE SANTE,example,another_example
NORD KIVU,VUHOVI,KIBWE,KIBWE CENTRE DE SANTE,example,another_example
NORD KIVU,KALUNGUTA,KABASHA,KABASHA CENTRE DE SANTE,example,another_example
